block_code,inbound_factory,outbound_factory,inbound_date,outbound_date,length_m,width_m,height_m
B008821,1dock-P-no-1,2dock-f-no-1,2026-07-29,2026-07-29,5.4,8.8,8.5
B008822,1dock-P-no-2,wharf-f-no-3,2026-07-29,2026-07-29,7.3,17.4,4.5
B008823,1dock-P-no-2,e4-f-no-5,2026-07-29,2026-07-29,7.5,13.2,11
B008824,2dock-P-no-1,1dock-f-no-1,2026-07-29,2026-07-29,6.2,15.1,5.1
B008825,2dock-P-no-2,texaco-f-no-1,2026-07-29,2026-07-29,81.4,16.8,11.4
B008826,1dock-P-no-1,wharf-f-no-2,2026-07-29,2026-07-30,73.5,16.9,6.6
B008827,1dock-P-no-1,1dock-f-no-1,2026-07-29,2026-07-30,5.5,8.9,3.2
B008828,1dock-P-no-2,wharf-f-no-3,2026-07-29,2026-07-30,6.3,7.8,4.5
B008829,1dock-P-no-2,wharf-f-no-1,2026-07-29,2026-07-30,4.5,11.4,11.3
B008830,e4-p-no-1,e4-f-no-5,2026-07-29,2026-07-30,11.7,17.6,6.5
B008831,e4-p-no-1,e4-f-no-3,2026-07-29,2026-07-30,5.8,17.8,3.9
B008832,e4-p-no-3,e4-f-no-5,2026-07-29,2026-07-30,15.1,10.7,16.5
B008833,e4-p-no-8,e4-f-no-2,2026-07-29,2026-07-30,6.1,16.9,5.6
B008834,texaco-p-no-8,texaco-f-no-2,2026-07-29,2026-07-30,7.6,13.2,4
B008835,1dock-P-no-1,texaco-f-no-3,2026-07-29,2026-07-31,61.7,16.8,3.8
B008836,1dock-P-no-2,texaco-f-no-2,2026-07-29,2026-07-31,21.3,9,3.5
B008837,texaco-p-no-1,texaco-f-no-3,2026-07-29,2026-07-31,4.7,13.5,4.9
B008838,texaco-p-no-1,e4-f-no-2,2026-07-29,2026-07-31,6.2,18.2,16.1
B008839,1dock-P-no-1,wharf-f-no-1,2026-07-29,2026-08-01,16.6,11,5.4
B008840,e4-p-no-1,wharf-f-no-3,2026-07-29,2026-08-01,5.9,12.5,3.7
B008841,e4-p-no-4,2dock-f-no-2,2026-07-29,2026-08-01,5.8,8.2,5.6
B008842,e4-p-no-8,e4-f-no-3,2026-07-29,2026-08-01,13.9,18.7,6.5
B008843,texaco-p-no-1,wharf-f-no-5,2026-07-29,2026-08-01,7.9,13.7,6
B008844,texaco-p-no-1,2dock-f-no-2,2026-07-29,2026-08-01,12.8,15.8,5.8
B008845,texaco-p-no-4,texaco-f-no-1,2026-07-29,2026-08-01,4.7,11.3,9.4
B008846,1dock-P-no-1,e4-f-no-5,2026-07-29,2026-08-02,20.5,10.1,5.1
B008847,1dock-P-no-1,e4-f-no-5,2026-07-29,2026-08-02,5.8,10.4,4.2
B008848,1dock-P-no-1,2dock-f-no-2,2026-07-29,2026-08-02,15.2,10.9,4.4
B008849,2dock-P-no-2,e4-f-no-5,2026-07-29,2026-08-02,7.4,14.4,6.6
B008850,texaco-p-no-1,e4-f-no-3,2026-07-29,2026-08-02,70,16,5
B008851,texaco-p-no-9,wharf-f-no-3,2026-07-29,2026-08-02,59.9,17.1,4.8
B008852,1dock-P-no-2,wharf-f-no-1,2026-07-29,2026-08-03,13.6,20.4,4.7
B008853,1dock-P-no-2,texaco-f-no-2,2026-07-29,2026-08-03,6.5,11,3.3
B008854,2dock-P-no-1,texaco-f-no-2,2026-07-29,2026-08-03,17.5,10.2,4.9
B008855,1dock-P-no-1,wharf-f-no-3,2026-07-29,2026-08-06,11.4,19.7,6.7
B008856,1dock-P-no-2,texaco-f-no-3,2026-07-29,2026-08-06,6.8,13.5,5.3
B008857,1dock-P-no-1,2dock-f-no-2,2026-07-29,2026-08-10,5.1,12.5,6
B008858,1dock-P-no-2,texaco-f-no-2,2026-07-30,2026-07-30,2,10.4,5.3
B008859,e4-p-no-2,e4-f-no-2,2026-07-30,2026-07-30,3.3,8.9,4.6
B008860,1dock-P-no-1,wharf-f-no-5,2026-07-30,2026-07-31,16.3,9.6,14.7
B008861,1dock-P-no-2,texaco-f-no-1,2026-07-30,2026-07-31,6.3,15.9,6.1
B008862,1dock-P-no-1,texaco-f-no-1,2026-07-30,2026-08-01,5.8,13.4,11.6
B008863,e4-p-no-1,e4-f-no-5,2026-07-30,2026-08-01,8.1,17.1,4.6
B008864,e4-p-no-7,e4-f-no-5,2026-07-30,2026-08-01,8.2,13.1,7
B008865,1dock-P-no-2,2dock-f-no-2,2026-07-30,2026-08-02,6.9,8.8,5.1
B008866,1dock-P-no-2,2dock-f-no-1,2026-07-30,2026-08-02,7.1,12.8,3.2
B008867,1dock-P-no-7,wharf-f-no-4,2026-07-30,2026-08-02,2,7.9,5.7
B008868,1dock-P-no-7,e4-f-no-3,2026-07-30,2026-08-02,66,14,4.5
B008869,2dock-P-no-4,e4-f-no-3,2026-07-30,2026-08-02,7.5,13.8,3.6
B008870,e4-p-no-1,e4-f-no-4,2026-07-30,2026-08-02,20.6,9.2,4.5
B008871,1dock-P-no-1,e4-f-no-1,2026-07-30,2026-08-03,67.7,15.1,3.5
B008872,1dock-P-no-1,2dock-f-no-2,2026-07-30,2026-08-03,6,13.8,3.4
B008873,1dock-P-no-1,wharf-f-no-1,2026-07-30,2026-08-03,4.3,11,5.9
B008874,1dock-P-no-1,2dock-f-no-1,2026-07-30,2026-08-03,6.1,10.7,8.1
B008875,1dock-P-no-2,2dock-f-no-2,2026-07-30,2026-08-03,2.3,10,4.3
B008876,1dock-P-no-2,texaco-f-no-2,2026-07-30,2026-08-03,5.3,10.1,4
B008877,1dock-P-no-2,wharf-f-no-4,2026-07-30,2026-08-03,61.5,17.9,9.5
B008878,1dock-P-no-2,2dock-f-no-1,2026-07-30,2026-08-03,5.8,13.2,4.2
B008879,1dock-P-no-7,2dock-f-no-2,2026-07-30,2026-08-03,6.8,8.5,4.6
B008880,1dock-P-no-7,wharf-f-no-3,2026-07-30,2026-08-03,5.2,10.3,3.7
B008881,2dock-P-no-2,wharf-f-no-2,2026-07-30,2026-08-03,5.8,10.1,17.1
B008882,e4-p-no-1,2dock-f-no-1,2026-07-30,2026-08-03,6.2,13.7,4.6
B008883,texaco-p-no-1,e4-f-no-2,2026-07-30,2026-08-03,4.8,11.8,5.2
B008884,1dock-P-no-1,wharf-f-no-3,2026-07-30,2026-08-04,6.7,13.9,4.6
B008885,1dock-P-no-1,2dock-f-no-1,2026-07-30,2026-08-04,2.3,9.3,9.4
B008886,1dock-P-no-2,2dock-f-no-2,2026-07-30,2026-08-04,19.3,8.8,5.2
B008887,1dock-P-no-2,wharf-f-no-5,2026-07-30,2026-08-04,5,9.6,3.9
B008888,2dock-P-no-5,wharf-f-no-3,2026-07-30,2026-08-04,5.8,15.6,3.7
B008889,e4-p-no-1,e4-f-no-1,2026-07-30,2026-08-04,2.4,9.3,3.6
B008890,e4-p-no-1,e4-f-no-1,2026-07-30,2026-08-04,63.4,17.4,5.6
B008891,texaco-p-no-1,texaco-f-no-2,2026-07-30,2026-08-04,4.1,9.8,4.8
B008892,texaco-p-no-1,texaco-f-no-1,2026-07-30,2026-08-04,4.4,9.7,3.8
B008893,texaco-p-no-9,e4-f-no-1,2026-07-30,2026-08-04,5.2,8.7,4.4
B008894,2dock-P-no-2,wharf-f-no-4,2026-07-30,2026-08-05,67.1,16.7,14.4
B008895,e4-p-no-1,e4-f-no-4,2026-07-30,2026-08-07,7,16.9,4.9
B008896,texaco-p-no-1,texaco-f-no-3,2026-07-30,2026-08-07,6.8,12.6,3.4
B008897,1dock-P-no-2,2dock-f-no-1,2026-07-30,2026-08-09,4.4,12.4,4.6
B008898,1dock-P-no-2,wharf-f-no-5,2026-07-30,2026-08-10,15.3,10.4,4.8
B008899,2dock-P-no-1,1dock-f-no-1,2026-07-30,2026-08-10,5.1,9.5,10.4
B008900,2dock-P-no-2,2dock-f-no-2,2026-07-31,2026-07-31,7.6,16.2,3.5
B008901,e4-p-no-3,e4-f-no-3,2026-07-31,2026-07-31,6.2,10.7,5.8
B008902,1dock-P-no-2,e4-f-no-5,2026-07-31,2026-08-01,5.1,8.2,5.9
B008903,1dock-P-no-2,1dock-f-no-1,2026-07-31,2026-08-01,20.4,8.9,3.7
B008904,2dock-P-no-1,e4-f-no-5,2026-07-31,2026-08-01,5.1,8.7,4
B008905,e4-p-no-1,e4-f-no-1,2026-07-31,2026-08-01,6.3,9.4,7.3
B008906,texaco-p-no-1,e4-f-no-4,2026-07-31,2026-08-01,14.2,19.9,5.6
B008907,texaco-p-no-9,texaco-f-no-1,2026-07-31,2026-08-01,3.7,9.2,4.7
B008908,1dock-P-no-2,wharf-f-no-2,2026-07-31,2026-08-02,6.1,14.9,4.8
B008909,1dock-P-no-2,wharf-f-no-5,2026-07-31,2026-08-02,17.1,10.3,3.3
B008910,2dock-P-no-2,e4-f-no-1,2026-07-31,2026-08-02,73.7,14,5.9
B008911,e4-p-no-2,e4-f-no-5,2026-07-31,2026-08-02,8.4,12.7,3.6
B008912,e4-p-no-5,e4-f-no-2,2026-07-31,2026-08-02,14.9,15.8,5
B008913,e4-p-no-7,e4-f-no-4,2026-07-31,2026-08-02,8.2,18.5,9.5
B008914,texaco-p-no-1,1dock-f-no-1,2026-07-31,2026-08-02,4.3,9,5
B008915,2dock-P-no-1,2dock-f-no-1,2026-07-31,2026-08-03,5.2,8.1,4.4
B008916,2dock-P-no-3,wharf-f-no-4,2026-07-31,2026-08-03,4.5,10.8,6.3
B008917,e4-p-no-1,e4-f-no-4,2026-07-31,2026-08-03,5.5,9.1,8.8
B008918,texaco-p-no-2,e4-f-no-1,2026-07-31,2026-08-03,6.9,9.3,4.1
B008919,texaco-p-no-8,texaco-f-no-1,2026-07-31,2026-08-03,4.8,8.4,5.2
B008920,1dock-P-no-1,wharf-f-no-4,2026-07-31,2026-08-04,6.6,16.1,6.2
B008921,1dock-P-no-2,e4-f-no-5,2026-07-31,2026-08-04,71.7,15.1,13.4
B008922,1dock-P-no-2,e4-f-no-2,2026-07-31,2026-08-04,5.9,10.5,11.1
B008923,1dock-P-no-5,wharf-f-no-4,2026-07-31,2026-08-04,75.9,15.9,3.8
B008924,2dock-P-no-1,2dock-f-no-2,2026-07-31,2026-08-04,4.8,9.8,5.2
B008925,2dock-P-no-1,1dock-f-no-1,2026-07-31,2026-08-04,4.7,10.5,10
B008926,2dock-P-no-2,texaco-f-no-2,2026-07-31,2026-08-04,17.2,8.7,6.1
B008927,e4-p-no-1,e4-f-no-5,2026-07-31,2026-08-04,4.2,9.2,4.3
B008928,texaco-p-no-6,wharf-f-no-3,2026-07-31,2026-08-04,6.2,17,3.3
B008929,1dock-P-no-1,2dock-f-no-1,2026-07-31,2026-08-05,19.1,11.5,6.5
B008930,1dock-P-no-1,e4-f-no-3,2026-07-31,2026-08-05,2,8.5,16.1
B008931,1dock-P-no-2,wharf-f-no-1,2026-07-31,2026-08-05,76.8,15.5,3.7
B008932,1dock-P-no-2,2dock-f-no-2,2026-07-31,2026-08-05,7.7,10.4,14.6
B008933,1dock-P-no-2,1dock-f-no-1,2026-07-31,2026-08-05,4.1,11,9.9
B008934,2dock-P-no-1,texaco-f-no-3,2026-07-31,2026-08-05,5.4,9.7,4.1
B008935,e4-p-no-1,e4-f-no-3,2026-07-31,2026-08-05,7.8,13.6,3.3
B008936,e4-p-no-1,e4-f-no-5,2026-07-31,2026-08-05,6.9,13.4,4.8
B008937,e4-p-no-9,e4-f-no-3,2026-07-31,2026-08-05,15,10.4,5.9
B008938,texaco-p-no-1,texaco-f-no-3,2026-07-31,2026-08-05,6.4,15.1,4.6
B008939,1dock-P-no-2,2dock-f-no-1,2026-07-31,2026-08-06,5.2,12.6,5.4
B008940,1dock-P-no-2,wharf-f-no-4,2026-07-31,2026-08-06,14.1,16,5.9
B008941,1dock-P-no-7,texaco-f-no-2,2026-07-31,2026-08-06,6.2,8.1,3.5
B008942,2dock-P-no-1,wharf-f-no-5,2026-07-31,2026-08-06,3.4,8.9,3.5
B008943,1dock-P-no-7,wharf-f-no-2,2026-07-31,2026-08-09,14.8,10.9,5.8
B008944,texaco-p-no-9,2dock-f-no-2,2026-07-31,2026-08-09,2.4,8.3,4.6
B008945,2dock-P-no-2,2dock-f-no-2,2026-07-31,2026-08-11,7.3,10.7,4.1
B008946,1dock-P-no-2,wharf-f-no-3,2026-07-31,2026-08-12,7,9.8,10.9
B008947,1dock-P-no-7,wharf-f-no-1,2026-07-31,2026-08-12,4.4,11.4,7.3
B008948,2dock-P-no-2,wharf-f-no-2,2026-07-31,2026-08-13,6.5,13.6,7.6
B008949,texaco-p-no-1,wharf-f-no-1,2026-07-31,2026-08-17,5.3,7.9,4
B008950,1dock-P-no-1,wharf-f-no-2,2026-08-01,2026-08-01,5.8,14.3,5.6
B008951,1dock-P-no-2,2dock-f-no-2,2026-08-01,2026-08-01,5.3,13.1,4.8
B008952,e4-p-no-8,e4-f-no-2,2026-08-01,2026-08-01,4.3,8,4.3
B008953,1dock-P-no-2,2dock-f-no-2,2026-08-01,2026-08-02,67.6,17.4,4.7
B008954,2dock-P-no-1,wharf-f-no-3,2026-08-01,2026-08-02,8.3,11.7,10.8
B008955,2dock-P-no-2,2dock-f-no-2,2026-08-01,2026-08-02,5.6,10.1,4.3
B008956,e4-p-no-4,2dock-f-no-1,2026-08-01,2026-08-02,6.4,7.8,5.5
B008957,1dock-P-no-7,1dock-f-no-1,2026-08-01,2026-08-03,15.4,20.5,3.3
B008958,texaco-p-no-4,texaco-f-no-3,2026-08-01,2026-08-03,7.7,11.3,3.6
B008959,1dock-P-no-2,texaco-f-no-3,2026-08-01,2026-08-04,70.9,14.5,5.8
B008960,2dock-P-no-1,texaco-f-no-3,2026-08-01,2026-08-04,7.8,15.7,7.2
B008961,e4-p-no-1,e4-f-no-2,2026-08-01,2026-08-04,8,14.9,13.7
B008962,e4-p-no-8,1dock-f-no-1,2026-08-01,2026-08-04,83.6,15.9,4.2
B008963,texaco-p-no-1,texaco-f-no-1,2026-08-01,2026-08-04,5.3,10.8,4.6
B008964,1dock-P-no-2,e4-f-no-2,2026-08-01,2026-08-05,8.2,13.3,5.3
B008965,1dock-P-no-7,texaco-f-no-3,2026-08-01,2026-08-05,15.4,15.6,10.7
B008966,texaco-p-no-7,2dock-f-no-1,2026-08-01,2026-08-05,2.4,8.5,3
B008967,1dock-P-no-2,wharf-f-no-1,2026-08-01,2026-08-06,2.1,9.4,3.5
B008968,1dock-P-no-2,texaco-f-no-2,2026-08-01,2026-08-06,5.2,12.3,4.2
B008969,texaco-p-no-1,wharf-f-no-2,2026-08-01,2026-08-06,7.5,16.1,4.2
B008970,texaco-p-no-9,wharf-f-no-1,2026-08-01,2026-08-06,7.9,12.6,16.2
B008971,1dock-P-no-7,1dock-f-no-1,2026-08-01,2026-08-08,21.4,9.5,8.9
B008972,1dock-P-no-2,2dock-f-no-1,2026-08-01,2026-08-09,10.9,18.8,3.2
B008973,1dock-P-no-7,wharf-f-no-4,2026-08-01,2026-08-12,14.3,18.1,3.4
B008974,e4-p-no-6,e4-f-no-3,2026-08-01,2026-08-13,4.9,9.9,6.1
B008975,texaco-p-no-1,wharf-f-no-3,2026-08-01,2026-08-13,2.4,8,5.5
B008976,1dock-P-no-2,1dock-f-no-1,2026-08-02,2026-08-02,4.5,8.6,5.1
B008977,1dock-P-no-3,texaco-f-no-3,2026-08-02,2026-08-02,59.6,14,4
B008978,1dock-P-no-7,2dock-f-no-2,2026-08-02,2026-08-03,5.4,13,5.1
B008979,2dock-P-no-5,texaco-f-no-2,2026-08-02,2026-08-03,6.6,11.1,5.9
B008980,texaco-p-no-1,1dock-f-no-1,2026-08-02,2026-08-04,18.2,10.9,5.3
B008981,texaco-p-no-9,1dock-f-no-1,2026-08-02,2026-08-04,8,14,5.9
B008982,e4-p-no-1,texaco-f-no-3,2026-08-02,2026-08-05,4.8,9.8,11.8
B008983,texaco-p-no-7,texaco-f-no-2,2026-08-02,2026-08-05,17.1,9.9,3.4
B008984,1dock-P-no-1,texaco-f-no-3,2026-08-02,2026-08-06,5.8,13.5,4.8
B008985,1dock-P-no-2,wharf-f-no-3,2026-08-02,2026-08-06,63.4,17.4,6.2
B008986,2dock-P-no-1,e4-f-no-2,2026-08-02,2026-08-07,4,9.2,5.1
B008987,1dock-P-no-1,wharf-f-no-3,2026-08-02,2026-08-13,6.8,18.8,8.9
B008988,1dock-P-no-2,wharf-f-no-1,2026-08-02,2026-08-14,20.3,9.5,4.2
B008989,1dock-P-no-2,1dock-f-no-1,2026-08-02,2026-08-21,14.2,18.8,5.3
B008990,1dock-P-no-2,e4-f-no-5,2026-08-03,2026-08-03,4.3,7.9,3.7
B008991,1dock-P-no-2,wharf-f-no-5,2026-08-03,2026-08-03,58.5,14,6
B008992,1dock-P-no-7,2dock-f-no-1,2026-08-03,2026-08-03,3.8,9.4,7.5
B008993,1dock-P-no-7,2dock-f-no-2,2026-08-03,2026-08-03,4.3,9.6,5.2
B008994,2dock-P-no-1,1dock-f-no-1,2026-08-03,2026-08-03,5.2,12.3,8.8
B008995,2dock-P-no-2,texaco-f-no-3,2026-08-03,2026-08-03,3.6,9.3,5.7
B008996,1dock-P-no-2,e4-f-no-3,2026-08-03,2026-08-04,77.4,17.8,5.8
B008997,1dock-P-no-7,e4-f-no-4,2026-08-03,2026-08-04,20.1,9.8,8.3
B008998,texaco-p-no-5,texaco-f-no-3,2026-08-03,2026-08-04,4.6,10.6,5.5
B008999,texaco-p-no-6,e4-f-no-4,2026-08-03,2026-08-04,6,7.9,5.3
B009000,1dock-P-no-2,2dock-f-no-1,2026-08-03,2026-08-05,19,8.6,5.6
B009001,1dock-P-no-2,texaco-f-no-2,2026-08-03,2026-08-05,21.3,9.6,5.5
B009002,e4-p-no-1,e4-f-no-5,2026-08-03,2026-08-05,74,14.6,4.6
B009003,texaco-p-no-1,texaco-f-no-3,2026-08-03,2026-08-05,7.5,11.2,9.2
B009004,1dock-P-no-1,2dock-f-no-2,2026-08-03,2026-08-06,4.3,10.5,6.8
B009005,1dock-P-no-1,wharf-f-no-4,2026-08-03,2026-08-06,8.3,14.7,6.5
B009006,1dock-P-no-4,wharf-f-no-1,2026-08-03,2026-08-06,4.4,8.7,5.5
B009007,2dock-P-no-1,wharf-f-no-4,2026-08-03,2026-08-06,2,7.9,3.1
B009008,2dock-P-no-1,texaco-f-no-1,2026-08-03,2026-08-06,81.2,16.3,4.3
B009009,e4-p-no-5,e4-f-no-2,2026-08-03,2026-08-06,2.1,7.8,4.5
B009010,e4-p-no-5,e4-f-no-4,2026-08-03,2026-08-06,5.2,8.4,11.2
B009011,texaco-p-no-1,texaco-f-no-3,2026-08-03,2026-08-06,5.5,9.5,5
B009012,1dock-P-no-1,wharf-f-no-1,2026-08-03,2026-08-07,11,15.6,8.2
B009013,1dock-P-no-2,texaco-f-no-2,2026-08-03,2026-08-07,6.4,8.4,10.9
B009014,1dock-P-no-7,e4-f-no-2,2026-08-03,2026-08-07,4.5,9.9,9.2
B009015,1dock-P-no-7,2dock-f-no-1,2026-08-03,2026-08-07,2,8.4,5
B009016,2dock-P-no-2,wharf-f-no-1,2026-08-03,2026-08-07,3.4,9.9,11.9
B009017,e4-p-no-7,texaco-f-no-2,2026-08-03,2026-08-07,11.5,20.8,8.5
B009018,e4-p-no-9,e4-f-no-3,2026-08-03,2026-08-07,7.3,18.6,4.4
B009019,texaco-p-no-1,texaco-f-no-2,2026-08-03,2026-08-07,5.9,9.1,3.5
B009020,texaco-p-no-1,e4-f-no-5,2026-08-03,2026-08-07,69.9,18.2,5.6
B009021,texaco-p-no-1,texaco-f-no-2,2026-08-03,2026-08-07,5.2,9.3,5.4
B009022,1dock-P-no-1,2dock-f-no-2,2026-08-03,2026-08-08,69.6,14,3.4
B009023,1dock-P-no-1,texaco-f-no-1,2026-08-03,2026-08-08,6.6,18,5
B009024,1dock-P-no-2,2dock-f-no-2,2026-08-03,2026-08-08,11.3,19.2,10.5
B009025,2dock-P-no-1,wharf-f-no-1,2026-08-03,2026-08-08,7.6,10.7,5.2
B009026,e4-p-no-1,e4-f-no-5,2026-08-03,2026-08-08,5.7,9.5,4.6
B009027,2dock-P-no-5,e4-f-no-4,2026-08-03,2026-08-11,7.6,13.7,8.5
B009028,2dock-P-no-2,wharf-f-no-4,2026-08-03,2026-08-19,2,7.8,9.4
B009029,1dock-P-no-2,texaco-f-no-3,2026-08-04,2026-08-04,7,11.9,5.3
B009030,2dock-P-no-2,wharf-f-no-2,2026-08-04,2026-08-04,5.3,9.1,16
B009031,e4-p-no-4,e4-f-no-4,2026-08-04,2026-08-04,14.9,9.6,8.1
B009032,texaco-p-no-1,1dock-f-no-1,2026-08-04,2026-08-04,4.2,11,8.8
B009033,1dock-P-no-1,2dock-f-no-2,2026-08-04,2026-08-05,6.9,11.1,9
B009034,1dock-P-no-1,wharf-f-no-4,2026-08-04,2026-08-05,6.5,11.6,5.2
B009035,1dock-P-no-1,2dock-f-no-1,2026-08-04,2026-08-05,8.4,15.1,10.6
B009036,1dock-P-no-7,texaco-f-no-2,2026-08-04,2026-08-05,8.4,15.3,11.7
B009037,e4-p-no-1,e4-f-no-1,2026-08-04,2026-08-05,6.6,12.9,3.4
B009038,e4-p-no-1,e4-f-no-3,2026-08-04,2026-08-05,19.8,11.4,3.6
B009039,texaco-p-no-1,texaco-f-no-2,2026-08-04,2026-08-05,5.9,9.2,3.3
B009040,texaco-p-no-1,2dock-f-no-1,2026-08-04,2026-08-05,5.2,13.4,4.3
B009041,e4-p-no-1,wharf-f-no-2,2026-08-04,2026-08-06,14.5,17.1,6
B009042,2dock-P-no-4,wharf-f-no-3,2026-08-04,2026-08-07,20.6,9.2,4.5
B009043,2dock-P-no-5,1dock-f-no-1,2026-08-04,2026-08-07,2,8.8,8.3
B009044,e4-p-no-4,e4-f-no-1,2026-08-04,2026-08-07,4.6,8.6,4
B009045,1dock-P-no-1,2dock-f-no-2,2026-08-04,2026-08-08,5.4,8.6,3.5
B009046,2dock-P-no-1,e4-f-no-2,2026-08-04,2026-08-08,65.5,16.1,3.2
B009047,e4-p-no-6,texaco-f-no-2,2026-08-04,2026-08-08,5.1,8.3,3.7
B009048,texaco-p-no-7,texaco-f-no-3,2026-08-04,2026-08-08,12.2,15.7,3.1
B009049,1dock-P-no-1,2dock-f-no-2,2026-08-04,2026-08-09,66.6,16.9,5.9
B009050,1dock-P-no-2,2dock-f-no-2,2026-08-04,2026-08-09,4.5,11.2,3.1
B009051,1dock-P-no-7,1dock-f-no-1,2026-08-04,2026-08-09,16.9,11,4
B009052,2dock-P-no-1,texaco-f-no-2,2026-08-04,2026-08-09,6.3,16.4,5.1
B009053,e4-p-no-1,e4-f-no-3,2026-08-04,2026-08-09,4.2,13.3,4.2
B009054,e4-p-no-3,e4-f-no-4,2026-08-04,2026-08-09,4,8.9,4.2
B009055,e4-p-no-4,2dock-f-no-2,2026-08-04,2026-08-09,3.4,9.1,4.6
B009056,e4-p-no-8,e4-f-no-3,2026-08-04,2026-08-09,7.3,13.9,4.4
B009057,texaco-p-no-4,texaco-f-no-2,2026-08-04,2026-08-09,7,15.1,6.2
B009058,texaco-p-no-7,e4-f-no-5,2026-08-04,2026-08-09,5,8.7,11.2
B009059,1dock-P-no-2,texaco-f-no-2,2026-08-04,2026-08-10,60.8,17.5,3.4
B009060,1dock-P-no-7,wharf-f-no-1,2026-08-04,2026-08-10,80.2,14.7,4.5
B009061,1dock-P-no-5,wharf-f-no-4,2026-08-04,2026-08-13,15.2,16.5,3.8
B009062,1dock-P-no-1,wharf-f-no-5,2026-08-04,2026-08-20,4.5,10.3,6.5
B009063,1dock-P-no-1,wharf-f-no-2,2026-08-05,2026-08-05,72,14.9,3.9
B009064,1dock-P-no-2,2dock-f-no-1,2026-08-05,2026-08-05,3.9,10,6.6
B009065,2dock-P-no-2,e4-f-no-4,2026-08-05,2026-08-05,2,8,5.9
B009066,e4-p-no-8,e4-f-no-1,2026-08-05,2026-08-05,13.4,20.8,4.3
B009067,1dock-P-no-2,2dock-f-no-2,2026-08-05,2026-08-06,21.1,10.9,11.5
B009068,1dock-P-no-2,2dock-f-no-2,2026-08-05,2026-08-06,7.1,14.1,5.1
B009069,2dock-P-no-1,wharf-f-no-1,2026-08-05,2026-08-06,2.2,8.7,4.9
B009070,e4-p-no-9,e4-f-no-1,2026-08-05,2026-08-06,2.3,9.1,6.2
B009071,texaco-p-no-1,wharf-f-no-5,2026-08-05,2026-08-06,3.6,9.2,3.7
B009072,1dock-P-no-7,wharf-f-no-3,2026-08-05,2026-08-07,4.4,8.8,5.3
B009073,1dock-P-no-7,2dock-f-no-1,2026-08-05,2026-08-07,6.8,9.6,10.7
B009074,texaco-p-no-5,wharf-f-no-3,2026-08-05,2026-08-07,4.7,12,3.9
B009075,1dock-P-no-1,2dock-f-no-2,2026-08-05,2026-08-08,5.2,12.8,4
B009076,1dock-P-no-2,wharf-f-no-4,2026-08-05,2026-08-08,7.3,12.5,7.4
B009077,1dock-P-no-6,wharf-f-no-5,2026-08-05,2026-08-08,5.9,10.4,5.4
B009078,1dock-P-no-7,texaco-f-no-1,2026-08-05,2026-08-08,15.7,9,3.8
B009079,2dock-P-no-2,wharf-f-no-5,2026-08-05,2026-08-08,2,8.9,4.4
B009080,2dock-P-no-2,1dock-f-no-1,2026-08-05,2026-08-08,14.8,9.4,5.5
B009081,2dock-P-no-3,wharf-f-no-5,2026-08-05,2026-08-08,71.2,14.3,4.3
B009082,e4-p-no-1,e4-f-no-2,2026-08-05,2026-08-08,4.2,13.7,6.7
B009083,e4-p-no-4,e4-f-no-3,2026-08-05,2026-08-08,3.6,9.3,9.6
B009084,1dock-P-no-1,texaco-f-no-1,2026-08-05,2026-08-09,4.2,9.8,8.5
B009085,1dock-P-no-1,2dock-f-no-2,2026-08-05,2026-08-09,2.3,9.5,3.3
B009086,1dock-P-no-2,texaco-f-no-2,2026-08-05,2026-08-09,3.5,9.7,5.6
B009087,1dock-P-no-2,wharf-f-no-4,2026-08-05,2026-08-09,13.7,16.7,3.5
B009088,1dock-P-no-2,1dock-f-no-1,2026-08-05,2026-08-09,6.4,13.9,4.6
B009089,1dock-P-no-2,wharf-f-no-2,2026-08-05,2026-08-09,19.9,9.1,5.5
B009090,1dock-P-no-2,texaco-f-no-3,2026-08-05,2026-08-09,7.5,17,3.1
B009091,1dock-P-no-2,wharf-f-no-4,2026-08-05,2026-08-09,6.5,14.9,6.5
B009092,1dock-P-no-3,wharf-f-no-5,2026-08-05,2026-08-09,5.1,8.7,5.4
B009093,1dock-P-no-6,texaco-f-no-3,2026-08-05,2026-08-09,4.4,10.3,4.1
B009094,2dock-P-no-2,2dock-f-no-1,2026-08-05,2026-08-09,5.7,9,4.3
B009095,2dock-P-no-2,2dock-f-no-1,2026-08-05,2026-08-09,5.5,9.6,17.9
B009096,e4-p-no-2,e4-f-no-2,2026-08-05,2026-08-09,7.5,16.9,5.3
B009097,1dock-P-no-2,1dock-f-no-1,2026-08-05,2026-08-10,5.5,9,9
B009098,1dock-P-no-2,texaco-f-no-2,2026-08-05,2026-08-10,6.3,12.4,13.6
B009099,1dock-P-no-7,1dock-f-no-1,2026-08-05,2026-08-10,8.3,16.6,5.8
B009100,2dock-P-no-4,texaco-f-no-2,2026-08-05,2026-08-10,3.4,9.9,12.6
B009101,e4-p-no-4,e4-f-no-1,2026-08-05,2026-08-10,14.1,16,12.9
B009102,e4-p-no-7,wharf-f-no-2,2026-08-05,2026-08-10,65.5,14.5,7.5
B009103,2dock-P-no-2,2dock-f-no-1,2026-08-05,2026-08-11,7.6,12.4,8.7
B009104,texaco-p-no-5,2dock-f-no-1,2026-08-05,2026-08-12,4.7,12.7,4.5
B009105,1dock-P-no-2,texaco-f-no-1,2026-08-05,2026-08-14,11.4,19.6,3.1
